"","season","Team","Batting_Run_Rate","Batting_Average","Batting_Wicket_Rate","Batting_Index","Bowling_Economy_Rate","Bowling_Average","Bowling_Strike_Rate","Bowling_Index","Net_Run_Rate","Net_Average","Net_Rate","Net_Index","winning_percentage"
"1","2008","CSK",8.20256961337167,1.33219814054992,0.0400038312025658,11.3350772901407,17.8333333333333,1.34790105290795,0.0475246343116659,24.6918265901231,-9.63076371996167,-0.015702912358029,-0.00752080310910016,-13.3567492999824,0.571428571428571
"2","2008","DC",8.28893065998329,1.35264828232779,0.0541385896305498,11.6283873656122,18.3095238095238,1.40395234479172,0.0395473489296285,26.2213423040131,-10.0205931495405,-0.0513040624639318,0.0145912407009214,-14.5929549384009,0.142857142857143
"3","2008","DD",8.44765112185225,1.37453799840314,0.0495012828874245,11.9444266864423,17.7361111111111,1.36278005125231,0.057969351297468,24.2535369975312,-9.28845998925886,0.0117579471508228,-0.0084680684100436,-12.3091103110889,0.5
"4","2008","KKR",7.60641025641026,1.23993490843944,0.057509932303475,9.91802797928288,15.0331196581197,1.28365210486016,0.0497777108691018,19.9468250751771,-7.4267094017094,-0.0437171964207228,0.0077322214343732,-10.0287970958942,0.428571428571429
"5","2008","KXIP",8.82729323308271,1.43444673505859,0.0454398420230644,13.0051016855115,17.9037037037037,1.37157866101138,0.0530431435265611,25.1780589064629,-9.076410470621,0.0628680740472097,-0.00760330150349675,-12.1729572209514,0.714285714285714
"6","2008","MI",8.24259651228912,1.33760531749333,0.048357927285079,11.3777002078779,16.6349206349206,1.29372394424907,0.0576483562549596,22.4765607575632,-8.39232412263151,0.0438813732442554,-0.00929042896988058,-11.0988605496853,0.5
"7","2008","RCB",7.32114661654135,1.19233221916015,0.063965621504355,8.93154996427921,17.5,1.35768159661852,0.0395618439199761,24.3797720663909,-10.1788533834586,-0.165349377458367,0.0244037775843789,-15.4482221021116,0.285714285714286
"8","2008","RR",8.49150806704261,1.39048193638742,0.0468974352134934,12.0899629413517,16.6875,1.2573102667705,0.0571129226524973,21.9413595181641,-8.19599193295739,0.133171669616925,-0.0102154874390039,-9.85139657681241,0.785714285714286
"9","2009","CSK",8.03198770736365,1.30663413124692,0.0472440378272677,10.6886499675245,15.9047619047619,1.22802507538987,0.0573945654836266,20.3386181918513,-7.87277419739826,0.0786090558570493,-0.0101505276563589,-9.64996822432674,0.571428571428571
"10","2009","DC",7.81284722222222,1.27312395272326,0.0536433608933922,10.0368920358804,16.5763888888889,1.20948835000677,0.0559056003650504,20.4349146611168,-8.76354166666667,0.0636356027164946,-0.00226223947165826,-10.3980226252364,0.5
