"","Id","Team","Team_Versus","Batting_Run_Rate","Batting_Average","Batting_Wicket_Rate","Batting_Index","Bowling_Economy_Rate","Bowling_Average","Bowling_Strike_Rate","Bowling_Index","Net_Run_Rate","Net_Average","Net_Rate","Net_Index"
"1","1","RCB","SRH",8.6,1.39837398373984,0.0813008130081301,12.0260162601626,23,1.656,0.032,38.088,-14.4,-0.257626016260162,0.0493008130081301,-26.0619837398374
"2","1","SRH","RCB",10.35,1.656,0.032,17.1396,19.1111111111111,1.39837398373984,0.0813008130081301,26.7244805781391,-8.76111111111111,0.257626016260162,-0.0493008130081301,-9.58488057813911
"3","10","MI","SRH",8.83333333333333,1.4070796460177,0.0530973451327434,12.429203539823,17.5555555555556,1.25396825396825,0.0634920634920635,22.0141093474427,-8.72222222222222,0.153111392049445,-0.0103947183593201,-9.58490580761967
"4","10","SRH","MI",7.52380952380952,1.25396825396825,0.0634920634920635,9.43461829176115,17.6666666666667,1.4070796460177,0.0530973451327434,24.858407079646,-10.1428571428571,-0.153111392049445,0.0103947183593201,-15.4237887878849
"5","100","DD","KXIP",9.83333333333333,1.61643835616438,0.0547945205479452,15.8949771689498,11.75,1.88,0.06,22.09,-1.91666666666667,-0.263561643835616,-0.0052054794520548,-6.19502283105023
"6","100","KXIP","DD",11.75,1.88,0.06,22.09,13.1111111111111,1.61643835616438,0.0547945205479452,21.193302891933,-1.36111111111111,0.263561643835616,0.0052054794520548,0.89669710806697
"7","101","RCB","RR",6.6,1.056,0.072,6.9696,21.8888888888889,1.5511811023622,0.0078740157480315,33.9536307961505,-15.2888888888889,-0.495181102362205,0.0641259842519685,-26.9840307961505
"8","101","RR","RCB",9.38095238095238,1.5511811023622,0.0078740157480315,14.5515560554931,14.6666666666667,1.056,0.072,15.488,-5.28571428571428,0.495181102362205,-0.0641259842519685,-0.936443944506935
"9","102","DC","MI",7.65,1.23387096774194,0.0564516129032258,9.43911290322581,19.7777777777778,1.390625,0.0546875,27.5034722222222,-12.1277777777778,-0.156754032258065,0.0017641129032258,-18.0643593189964
"10","102","MI","DC",8.47619047619048,1.390625,0.0546875,11.7872023809524,17,1.23387096774194,0.0564516129032258,20.9758064516129,-8.52380952380952,0.156754032258065,-0.0017641129032258,-9.18860407066052
"11","103","CSK","KKR",6.875,1.07843137254902,0,7.41421568627451,16.5555555555556,1.20161290322581,0.0403225806451613,19.8933691756272,-9.68055555555556,-0.123181530676787,-0.0403225806451613,-12.4791534893527
"12","103","KKR","CSK",7.45,1.20161290322581,0.0403225806451613,8.95201612903226,6.875,1.07843137254902,0,7.41421568627451,0.575,0.123181530676787,0.0403225806451613,1.53780044275775
"13","104","DD","RCB",8.77777777777778,1.42342342342342,0.045045045045045,12.4944944944945,17.1111111111111,1.232,0.056,21.0808888888889,-8.33333333333333,0.191423423423423,-0.010954954954955,-8.58639439439439
"14","104","RCB","DD",7.7,1.232,0.056,9.4864,17.5555555555556,1.42342342342342,0.045045045045045,24.988988988989,-9.85555555555556,-0.191423423423423,0.010954954954955,-15.502588988989
"15","105","KKR","RR",7.35,1.20491803278689,0.0655737704918033,8.85614754098361,16.6666666666667,1.47058823529412,0.0392156862745098,24.5098039215686,-9.31666666666667,-0.265670202507233,0.0263580842172935,-15.653656380585
"16","105","RR","KKR",8.82352941176471,1.47058823529412,0.0392156862745098,12.9757785467128,16.3333333333333,1.20491803278689,0.0655737704918033,19.6803278688525,-7.50980392156863,0.265670202507233,-0.0263580842172935,-6.70454932213965
"17","106","KXIP","MI",9.45,1.5241935483871,0.032258064516129,14.4036290322581,20.8888888888889,1.504,0.08,31.4168888888889,-11.4388888888889,0.0201935483870967,-0.047741935483871,-17.0132598566308
"18","106","MI","KXIP",9.4,1.504,0.08,14.1376,21,1.5241935483871,0.032258064516129,32.008064516129,-11.6,-0.0201935483870967,0.047741935483871,-17.870464516129
"19","107","CSK","RCB",5.33333333333333,0.888888888888889,0.0634920634920635,4.74074074074074,14,1.04132231404959,0.0661157024793388,14.5785123966942,-8.66666666666667,-0.152433425160698,-0.00262363898727536,-9.83777165595347
"20","107","RCB","CSK",6.3,1.04132231404959,0.0661157024793388,6.5603305785124,12.4444444444444,0.888888888888889,0.0634920634920635,11.0617283950617,-6.14444444444444,0.152433425160698,0.00262363898727536,-4.50139781654933
"21","108","DC","KXIP",8.75,1.44628099173554,0.0330578512396694,12.654958677686,19.7777777777778,1.45901639344262,0.0327868852459016,28.856102003643,-11.0277777777778,-0.0127354017070858,0.000270965993767781,-16.201143325957
"22","108","KXIP","DC",8.9,1.45901639344262,0.0327868852459016,12.9852459016393,19.4444444444444,1.44628099173554,0.0330578512396694,28.1221303948577,-10.5444444444444,0.0127354017070858,-0.000270965993767781,-15.1368844932183
"23","109","DD","MI",8.95,1.49166666666667,0.0416666666666667,13.3504166666667,19.5555555555556,1.38582677165354,0.062992125984252,27.1006124234471,-10.6055555555556,0.105839895013123,-0.0213254593175853,-13.7501957567804
"24","109","MI","DD",8.38095238095238,1.38582677165354,0.062992125984252,11.6145481814773,19.8888888888889,1.49166666666667,0.0416666666666667,29.6675925925926,-11.5079365079365,-0.105839895013123,0.0213254593175853,-18.0530444111153
"25","11","KKR","KXIP",10.0588235294118,1.64423076923077,0.0192307692307692,16.5390271493213,18.8888888888889,1.30769230769231,0.0692307692307692,24.7008547008547,-8.83006535947712,0.336538461538461,-0.05,-8.16182755153343
